765555178,Caps-NTD2+CR-NTPase4,-,Caps-NTD2+CR-NTPase4,CAOG_008960,985,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_008960 [Capsaspora owczarzaki ATCC 30864].
765551192,Caps-NTD1,-,Caps-NTD1,CAOG_002895,128,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_002895 [Capsaspora owczarzaki ATCC 30864].
754343363,Caps-NTD1,-,Caps-NTD1,CAOG_08447,280,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08447 [Capsaspora owczarzaki ATCC 30864]. 
765548762,Caps-NTD1,-,Caps-NTD1,CAOG_008447,288,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_008447 [Capsaspora owczarzaki ATCC 30864].
514485481,CR-REase8,-,MerR-HTH+CR-REase8,CAOG_03664,635,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_03664 [Capsaspora owczarzaki ATCC 30864]. 
470306236,CR-REase8,-,CR-REase8,CAOG_03664,574,eukaryota,Capsaspora owczarzaki ATCC 30864,predicted protein [Capsaspora owczarzaki ATCC 30864]. 
470320509,CR-REase8,AAA_13,MerR-HTH+CR-REase8,CAOG_02068,640,eukaryota,Capsaspora owczarzaki ATCC 30864,predicted protein [Capsaspora owczarzaki ATCC 30864]. 
514485942,CR-REase8,DUF4407,MerR-HTH+CR-REase8,CAOG_02068,636,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_02068 [Capsaspora owczarzaki ATCC 30864]. 
470324525,CR-NTPase4+CR-REase6,-,CR-NTPase4+CR-REase6+BROMO,CAOG_01353,751,eukaryota,Capsaspora owczarzaki ATCC 30864,predicted protein [Capsaspora owczarzaki ATCC 30864]. 
470321416,CR-NTPase4+CR-REase6,FYDLN_acid,CR-NTPase4+CR-REase6+UBC,CAOG_02264,810,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_02264 [Capsaspora owczarzaki ATCC 30864]. 
514483447,CR-NTPase4+CR-REase6,-,CR-NTPase4+CR-REase6,CAOG_09178,904,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09178 [Capsaspora owczarzaki ATCC 30864]. 
470322047,CR-NTPase4+CR-REase6,-,CR-NTPase4+CR-REase6,CAOG_02405,648,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_02405 [Capsaspora owczarzaki ATCC 30864]. 
514483385,CR-NTPase4+CR-REase6,-,CR-NTPase4+CR-REase6,CAOG_09223,813,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_09223 [Capsaspora owczarzaki ATCC 30864]. 
765550451,CR-NTPase4+CR-REase6,FYDLN_acid,CR-NTPase4+CR-REase6+UBC,CAOG_002264,838,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_002264 [Capsaspora owczarzaki ATCC 30864].
470288053,CR-NTPase4+CR-REase6,-,CR-NTPase4+CR-REase6,CAOG_08287,672,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_08287 [Capsaspora owczarzaki ATCC 30864]. 
514486358,CR-NTPase4+CR-REase6,-,CR-NTPase4+CR-REase6+BROMO,CAOG_01353,751,eukaryota,Capsaspora owczarzaki ATCC 30864,hypothetical protein CAOG_01353 [Capsaspora owczarzaki ATCC 30864]. 
